"Date / Time","City","State","Shape","Duration","Summary","Posted"
"11/27/14 18:10","Glendale","CA","Teardrop","5 minutes","TWO ""RED FLAME WITH YELLOW CENTER"" TEAR-DROP SHAPED CRAFTS -BURBANK, CA.","12/5/14"
"11/27/14 18:00","St. Augustine","FL","Disk","2 minutes","A disc-shaped object, lit from underneath, drifted/hovered into our area near the Crescent Beach Bridge in St Augustine, FL.","12/5/14"
"11/27/14 18:00","Battlement Mesa","CO","Flash","2 minutes","Flash come and disappeared.","12/5/14"
"11/27/14 17:49","Overland Park","KS","Other","10 minutes","Multiple red blue and white lights, that were together then split up in two dazzle displays of light acrobatics!  fast turns, sharpe","12/5/14"
"11/27/14 17:30","Falcon (north of)","CO","","1 second","Elliptical flash.","12/5/14"
"11/27/14 07:30","Potter Valley","CA","Formation","3 minutes","5 reddish/orange lights moved slowly towards viewers, then turned north and faded out.","12/5/14"
"11/27/14 05:50","Ponca City","OK","Diamond","20 minutes","Diamond star ufo sighted.","12/5/14"
"11/27/14 05:45","Denham Springs","LA","Cone","30 seconds","Three bright red objects moving across the evening sky.","12/5/14"
"11/27/14","","","","5 seconds","It was an extremely bright white oval light that disappeared after 5 seconds.","12/5/14"
"11/26/14 23:55","Fredericton (Canada)","NB","Unknown","1","Blue flashing in the sky.  ((NUFORC Note:  Later reported by witness probably to have been explosions of transformers.  PD))","12/5/14"
"11/26/14 23:29","Hagerstown","MD","Sphere","ongoing","Four white spheres going in methodical patterns over north Hagerstown, MD.  ((NUFORC Note:  Advertising lights?  PD))","12/5/14"
"11/26/14 22:22","St. Johns","FL","Sphere","","Enormously fast, bright, gold/white, spherical light crossed sky from N to S trajectory in 60 seconds.","12/5/14"
"11/26/14 22:20","Santa Fe","NM","Light","10 minutes","Multi-colored orb jumping around.","12/5/14"
"11/26/14 20:00","Cape Coral","FL","Sphere","5 minutes","7 yellow orbs in sky over Cape Coral, Fl.","12/5/14"
"11/26/14 20:00","Myrtle Beach","SC","Light","15 minutes","Bright light moving erratically over the ocean.","12/5/14"
"11/26/14 19:30","Treasure Cay (Bahamas)","","Fireball","5 seconds","Yellow ball of light, moving vertically down towards the sea.","12/5/14"
"11/26/14 19:00","Dallas","TX","Fireball","2 minutes","Orange flickering light moving through sky, then the light went out; could see silver object moving away @ high speed.  No noise.","12/5/14"
"11/26/14 19:00","Lincolnton","NC","Triangle","2-5 min","Triangular light pattern.  low..silent. flying in deliberate path of cover","11/26/14"
"11/26/14 18:00","Colorado Springs","CO","Light","5 minutes","I was sitting in my car with my little brother looking into the sky. There were two specks of a yellowish light one flying N, one S.","12/5/14"
